text,true_label,pred_label
prediction unit helps forecast wildfires ap ap it s barely dawn when mike fitzpatrick starts his shift with a blur of colorful maps figures and endless charts but already he knows what the day will bring lightning will strike in places he expects winds will pick up moist places will dry and flames will roar,4,2
ibm to hire even more new workers by the end of the year the computing giant plans to have its biggest headcount since 1991,4,3
some people not eligible to get in on google ipo google has billed its ipo as a way for everyday people to get in on the process denying wall street the usual stranglehold it s had on ipos public bidding a minimum of just five shares an open process with 28 underwriters all this pointed to a new level of public participation but this isn t the case,4,3
rivals try to turn tables on charles schwab by michael liedtke san francisco ap with its low prices and iconoclastic attitude discount stock broker charles schwab corp sch represented an annoying stone in wall street s wing tipped shoes for decades,4,3
india s tata expands regional footprint via natsteel buyout afp afp india s tata iron and steel company ltd took a strategic step to expand its asian footprint with the announcement it will buy the asia pacific steel operations of singapore s natsteel ltd,1,3
live olympics day four richard faulds and stephen parry are going for gold for great britain on day four in athens,1,2
capacity crowds at beach volleyball rock the joint athens reuters at the beach volleyball the 2004 olympics is a sell out foot stomping success,2,3
intel to delay product aimed for high definition tvs san francisco in the latest of a series of product delays intel corp has postponed the launch of a video display chip it had previously planned to introduce by year end putting off a showdown with texas instruments inc in the fast growing market for high definition television displays,3,4
u s misses cut in olympic 100 free athens greece top american sprinters jason lezak and ian crocker missed the cut in the olympic 100 meter freestyle preliminaries tuesday a stunning blow for a country that had always done well in the event pieter van den hoogenband of the netherlands and australian ian thorpe advanced to the evening semifinal a day after dueling teenager michael phelps in the 200 freestyle won by thorpe,1,2
stocks climb on drop in consumer prices new york stocks rose for a second straight session tuesday as a drop in consumer prices allowed investors to put aside worries about inflation at least for the short term with gasoline prices falling to eight month lows the consumer price index registered a small drop in july giving consumers a respite from soaring energy prices,1,3
yahoo ups ante for small businesses web giant yahoo is gambling that price cuts on its domain name registration and web hosting products will make it more competitive with discounters in the space which means that small businesses looking to move online get a sweeter deal through,3,4
ibm buys two danish services firms ibm said tuesday it has acquired a pair of danish it services firms as part of its effort to broaden its presence in scandinavia as a result of the moves ibm will add about 3 700 it staffers to its global head count financial terms of,4,3
oil prices bubble to record high the price of oil has continued its sharp rise overnight closing at a record high the main contract in new york light sweet crude for delivery next month has closed at a record us46 75 a barrel up 70 cents on yesterday 39 s close,1,3
suvs live and let die new york the newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles,3,4
security scare as intruder dives in a canadian husband 39 s love for his wife has led to a tightening of security at all olympic venues in athens,2,1
google lowers its ipo price range san jose calif in a sign that google inc s initial public offering isn t as popular as expected the company lowered its estimated price range to between 85 and 95 per share down from the earlier prediction of 108 and 135 per share,1,3
microsoft finalises three year government deal hot on the heels of its 10 year strategic partnership with the london borough of newham microsoft is close to signing a new broad three year public sector agreement with the government,4,3
stock prices climb ahead of google ipo new york investors shrugged off rising crude futures wednesday to capture well priced shares sending the nasdaq composite index up 1 6 percent ahead of google inc s much anticipated initial public offering of stock in afternoon trading the dow jones industrial average gained 67 10 or 0 7 percent to 10 039 93,1,3
intuit posts wider loss after charge reuters reuters intuit inc intu o maker of the no 1 u s tax presentation software turbotax on wednesday posted a wider quarterly loss after taking a goodwill impairment charge during its seasonally weaker fourth quarter,4,3
justices to debate mail order wine being freelance wine critics may sound like a sweet gig but ray and eleanor heald have soured on it because their home state michigan blocks direct shipments from out of state,3,4
olympics hansen still strong enough to take bronze every ounce of his energy was expended leaving an empty fuel tank but even in a depleted state brendan hansen found a way to bolster his ever growing swimming legacy,2,4
ciena posts a loss forecasts flat sales lt p gt lt p gt lt p gt by deborah cohen lt p gt lt p gt chicago reuters telecommunications equipment makerciena corp lt cien o gt on thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sales inthe current quarter would be little changed from the thirdquarter lt p gt,4,3
ohio sues best buy alleging used sales ap ap ohio authorities sued best buy co inc on thursday alleging the electronics retailer engaged in unfair and deceptive business practices,3,4
sprint is chock full of potential heros it would be nice to see this week 39 s 100 meter sprint as simply the best footrace of all time we could witness four sub 10 second sprints for the first time ever it would be nice to watch with raised eyebrows instead of furrowed ones it,2,4
iraq oil exports still halved after basra hq attack baghdad reuters iraq continued to export oil at one million barrels per day on friday after an attack on the south oil company headquarters took sabotage operations to a new level an official at the state owned entity said,1,3
life without numbers in a unique amazon tribe 11 2 mathematics doesn 39 t get any more basic than this but even 11 would stump the brightest minds among the piraha tribe of the amazon,4,3
producer sues for rings profits hollywood producer saul zaentz sues the producers of the lord of the rings for 20m in royalties,1,3
amazon snaps up china s largest web retailer newsfactor newsfactor amazon com nasdaq amzn has said it will buy joyo com limited a british virgin islands company that operates the largest internet retail web site in china for us 36 75 million,3,4
report consumers tuning in to plasma tvs first quarter shipments of plasma televisions in the united states more than doubled from the previous year according to research firm isuppli prices fell by nearly 1 000 over the same period,4,3
glory comes amid empty seats and closed shutters here in old europe people install shutters outside their windows to keep out the heat the pollution the daylight the noise they also lock the shutters tight when they go away on holiday,2,4
salesforce com 2q profit up sharply software developer salesforce com inc posted a sharp rise in second quarter profit on better than expected revenue during its first quarter as a public company but investors shunned the stock in late trading,4,3
unknown nesterenko makes world headlines reuters reuters belarus yuliya nesterenko won the top women s athletics gold medal at the olympics on saturday triumphing over a field stripped of many big names because of doping woes to win the 100 meters,1,2
greek weightlifter awaits verdict greek weightlifter leonidas sampanis will find out on sunday if he is to be stripped of his medal,1,2
a founding father give the guy some credit tung chee hwa hong kong 39 s embattled chief executive gets precious little of it from his people these daysand heaps of,1,3
